userID,Latitude,Longitude,Subcategory,SubcategoryID,Category,Time,Comments_English,Visit_Order
1,35.69574295962428,139.79274507319016,Convenience Store,112,Retail,2020-04-11 12:20:00,"I'm at Family Mart Ryogoku Station West Exit Store - @famima_now in Sumida Ward, Tokyo",1
1,35.69565447853833,139.79269042611122,Italian Restaurant,247,Dining and Drinking,2020-04-11 12:30:00,"Waiting for Napoli Genovese and other things ٩(๑´3｀๑)۶ (@ Saizeriya in Sumida Ward, Tokyo)",2
1,35.6956815840053,139.7918539318322,Intersection,125,Travel and Transportation,2020-04-11 14:00:00,"I'm at Ryogoku Station West Exit Crossing in Sumida Ward, Tokyo",3
1,35.69463786810003,139.79186716568822,Public Art,21,Arts and Entertainment,2020-04-11 14:00:00,I'm at Ryogoku Station handprints in Sumida Ward,4
1,35.695302554975235,139.7918821475225,Bus Stop,156,Travel and Transportation,2020-04-11 14:00:00,I'm at Ryogoku Station West Exit Bus Stop (Keikoku Hospital Entrance),5
1,35.69066123721278,139.7958942243866,Bus Stop,72,Travel and Transportation,2020-04-11 14:30:00,"I'm at Chitose 3-chome West (Rokumanhori site) in Sumida Ward, Tokyo",6
1,35.690462209820595,139.79503115129842,Park,528,Landmarks and Outdoors,2020-04-11 17:30:00,"Sean Penn (((((((￣ ³￣)) (@Chitose Park in Sumida Ward, Tokyo)",7
1,35.68754,139.796452,Udon Restaurant,141,Dining and Drinking,2020-04-11 17:40:00,"Yudame Dried Curry Chicken Temperature; Canned Highball (. ❛ ᴗ ❛.)丿□ (@ Kogane Noodle Shop Morishita Branch in Koto Ward, Tokyo)",8
1,35.689975,139.794993,Intersection,540,Travel and Transportation,2020-04-11 18:50:00,I'm at Shinohashi 2-chome Kita intersection,9
1,35.69125795908521,139.79534799656022,Convenience Store,105,Retail,2020-04-12 10:20:00,"I'm at 7-Eleven Sumida Chitose Branch - @711sej in Sumida Ward, Tokyo",10
1,35.69199525334547,139.79580298849442,Bridge,72,Landmarks and Outdoors,2020-04-12 10:30:00,"I'm at Chitosebashi in Sumida Ward, Tokyo",11
